team_id,year,team,seed,finish,weekend,conference,overall_score,offensive_score,defensive_score
2015 Duke,2015,Duke,1,Champion,3,ACC,8.45,8.96,6.99
2015 Kentucky,2015,Kentucky,1,Final Four,3,SEC,10.0,9.5,10.0
2015 Michigan St.,2015,Michigan St.,7,Final Four,3,Big 10,7.19,6.85,6.37
2015 Wisconsin,2015,Wisconsin,1,Runner Up,3,Big 10,8.89,8.67,8.55
2015 Arizona,2015,Arizona,2,Elite Eight,2,Pac 12,8.35,7.98,7.66
2015 Gonzaga,2015,Gonzaga,2,Elite Eight,2,WCC,8.18,8.49,8.2
2015 Notre Dame,2015,Notre Dame,3,Elite Eight,2,ACC,7.42,8.16,5.99
2015 Louisville,2015,Louisville,4,Sweet 16,2,ACC,6.68,5.49,7.73
2015 NC St.,2015,North Carolina St.,8,Sweet 16,2,ACC,5.48,4.94,5.21
2015 North Carolina,2015,North Carolina,4,Sweet 16,2,ACC,7.77,7.52,6.87
2015 Oklahoma,2015,Oklahoma,3,Sweet 16,2,Big 12,6.79,5.22,7.67
2015 UCLA,2015,UCLA,11,Sweet 16,2,Pac 12,5.05,5.36,4.92
2015 Utah,2015,Utah,5,Sweet 16,2,Pac 12,8.31,7.76,8.22
2015 West Virginia,2015,West Virginia,5,Sweet 16,2,Big 12,6.09,4.84,4.14
2015 Wichita St.,2015,Wichita St.,7,Sweet 16,2,MVC,7.47,6.35,7.21
2015 Xavier,2015,Xavier,6,Sweet 16,2,Big East,5.71,5.9,4.61
2015 Albany,2015,Albany,14,First Round,1,America East,3.08,3.07,2.92
2015 Baylor,2015,Baylor,3,First Round,1,Big 12,7.24,6.55,6.42
2015 Belmont,2015,Belmont,15,First Round,1,OVC,3.52,4.76,3.06
2015 Boise St.,2015,Boise St.,11,First Round,1,MWC,5.79,5.22,6.0
2015 Buffalo,2015,Buffalo,12,First Round,1,MAC,4.73,4.7,4.5
2015 BYU,2015,BYU,11,First Round,1,WCC,5.77,6.52,4.37
2015 Coastal Carolina,2015,Coastal Carolina,16,First Round,1,Big South,2.86,3.18,3.05
2015 Davidson,2015,Davidson,10,First Round,1,A10,6.31,6.42,5.3
2015 Eastern Washington,2015,Eastern Washington,13,First Round,1,Big Sky,3.78,5.09,2.29
2015 Georgia,2015,Georgia,10,First Round,1,SEC,5.56,4.87,5.62
2015 Hampton,2015,Hampton,16,First Round,1,MEAC,0.78,1.09,2.35
2015 Harvard,2015,Harvard,13,First Round,1,Ivy,4.28,3.44,5.01
2015 Indiana,2015,Indiana,10,First Round,1,Big 10,5.59,6.03,4.25
2015 Iowa St.,2015,Iowa St.,3,First Round,1,Big 12,7.01,6.84,5.74
2015 Lafayette,2015,Lafayette,16,First Round,1,Patriot,2.28,4.19,1.73
2015 LSU,2015,LSU,9,First Round,1,SEC,5.35,5.1,6.16
2015 Manhattan,2015,Manhattan,16,First Round,1,MAAC,3.14,3.97,3.75
2015 Mississippi,2015,Mississippi,11,First Round,1,SEC,5.34,5.08,4.44
2015 New Mexico St.,2015,New Mexico St.,15,First Round,1,WAC,4.73,5.64,5.3
2015 North Dakota St.,2015,North Dakota St.,15,First Round,1,Summit,2.61,2.26,3.22
2015 North Florida,2015,North Florida,16,First Round,1,ASUN,3.34,4.64,3.66
2015 Northeastern,2015,Northeastern,14,First Round,1,CAA,3.55,4.62,3.22
2015 Oklahoma St.,2015,Oklahoma St.,9,First Round,1,Big 12,5.48,4.97,5.68
2015 Providence,2015,Providence,6,First Round,1,Big East,6.24,5.9,5.62
2015 Purdue,2015,Purdue,9,First Round,1,Big 10,5.89,5.89,5.85
2015 Robert Morris,2015,Robert Morris,16,First Round,1,NEC,2.7,3.19,3.44
2015 SMU,2015,SMU,6,First Round,1,AAC,6.42,6.9,5.91
2015 St. John's,2015,St. John's,9,First Round,1,Big East,5.22,4.49,5.91
2015 Stephen F. Austin,2015,Stephen F. Austin,12,First Round,1,Southland,5.99,6.88,4.48
2015 Texas,2015,Texas,11,First Round,1,Big 12,6.21,5.33,6.22
2015 Texas Southern,2015,Texas Southern,15,First Round,1,SWAC,2.3,2.64,2.51
2015 UC Irvine,2015,UC Irvine,13,First Round,1,Big West,4.53,4.19,5.64
2015 Valparaiso,2015,Valparaiso,13,First Round,1,Horizon,5.22,4.64,5.56
2015 VCU,2015,VCU,7,First Round,1,A10,6.02,4.51,5.29
2015 Wofford,2015,Wofford,12,First Round,1,Southern,4.31,3.92,4.69
2015 Wyoming,2015,Wyoming,12,First Round,1,MWC,4.17,5.48,5.15
2015 Arkansas,2015,Arkansas,5,Second Round,1,SEC,6.42,6.2,5.59
2015 Butler,2015,Butler,6,Second Round,1,Big East,6.1,5.17,6.07
2015 Cincinnati,2015,Cincinnati,8,Second Round,1,AAC,5.96,5.27,6.4
2015 Dayton,2015,Dayton,11,Second Round,1,A10,4.86,4.83,4.84
2015 Georgetown,2015,Georgetown,4,Second Round,1,Big East,6.61,6.18,5.8
2015 Georgia St.,2015,Georgia St.,14,Second Round,1,Sun Belt,4.34,5.07,4.53
2015 Iowa,2015,Iowa,7,Second Round,1,Big 10,6.78,6.21,7.32
2015 Kansas,2015,Kansas,2,Second Round,1,Big 12,7.29,5.63,6.61
2015 Maryland,2015,Maryland,4,Second Round,1,Big 10,6.52,5.45,6.62
2015 Northern Iowa,2015,Northern Iowa,5,Second Round,1,MVC,6.99,6.39,6.51
2015 Ohio St.,2015,Ohio St.,10,Second Round,1,Big 10,6.86,7.11,6.29
2015 Oregon,2015,Oregon,8,Second Round,1,Pac 12,5.29,5.14,4.45
2015 San Diego St.,2015,San Diego St.,8,Second Round,1,MWC,6.05,3.97,7.48
2015 UAB,2015,UAB,14,Second Round,1,CUSA,3.29,3.24,3.96
2015 Villanova,2015,Villanova,1,Second Round,1,Big East,8.34,7.96,6.81
2015 Virginia,2015,Virginia,2,Second Round,1,ACC,8.05,6.42,8.42
2016 Villanova,2016,Villanova,2,Champion,3,Big East,8.07,7.69,6.95
2016 Oklahoma,2016,Oklahoma,2,Final Four,3,Big 12,7.24,6.58,6.59
2016 Syracuse,2016,Syracuse,10,Final Four,3,ACC,5.21,5.36,5.41
2016 North Carolina,2016,North Carolina,1,Runner Up,3,ACC,8.39,8.13,7.23
2016 Kansas,2016,Kansas,1,Elite Eight,2,Big 12,8.28,7.74,7.2
2016 Notre Dame,2016,Notre Dame,6,Elite Eight,2,ACC,5.08,5.92,4.17
2016 Oregon,2016,Oregon,1,Elite Eight,2,Pac 12,6.71,6.89,5.67
2016 Virginia,2016,Virginia,1,Elite Eight,2,ACC,8.25,7.96,6.72
2016 Duke,2016,Duke,4,Sweet 16,2,ACC,6.91,7.73,6.16
2016 Gonzaga,2016,Gonzaga,11,Sweet 16,2,WCC,6.3,6.59,6.89
2016 Indiana,2016,Indiana,5,Sweet 16,2,Big 10,6.91,7.78,4.9
2016 Iowa St.,2016,Iowa St.,4,Sweet 16,2,Big 12,6.28,6.87,5.7
2016 Maryland,2016,Maryland,5,Sweet 16,2,Big 10,6.84,7.22,6.35
2016 Miami FL,2016,Miami FL,3,Sweet 16,2,ACC,6.67,6.89,5.87
2016 Texas A&M,2016,Texas A&M,3,Sweet 16,2,SEC,6.8,6.32,6.28
2016 Wisconsin,2016,Wisconsin,7,Sweet 16,2,Big 10,5.14,4.6,5.07
2016 Arizona,2016,Arizona,6,First Round,1,Pac 12,6.89,7.3,6.12
2016 Austin Peay,2016,Austin Peay,16,First Round,1,OVC,1.42,3.61,1.42
2016 Baylor,2016,Baylor,5,First Round,1,Big 12,5.72,6.34,3.3
2016 Buffalo,2016,Buffalo,14,First Round,1,MAC,3.37,3.67,3.12
2016 Cal St. Bakersfield,2016,Cal St. Bakersfield,15,First Round,1,WAC,4.06,3.65,4.76
2016 California,2016,California,4,First Round,1,Pac 12,5.91,5.76,6.12
2016 Chattanooga,2016,Chattanooga,12,First Round,1,Southern,4.11,4.64,3.47
2016 Cincinnati,2016,Cincinnati,9,First Round,1,AAC,6.14,5.44,6.4
2016 Colorado,2016,Colorado,8,First Round,1,Pac 12,5.64,4.82,5.48
2016 Dayton,2016,Dayton,7,First Round,1,A10,5.74,4.93,5.19
2016 Fairleigh Dickinson,2016,Fairleigh Dickinson,16,First Round,1,NEC,0.89,2.69,0.9
2016 Florida Gulf Coast,2016,Florida Gulf Coast,16,First Round,1,ASUN,2.7,3.6,3.58
2016 Fresno St.,2016,Fresno St.,14,First Round,1,MWC,4.35,4.28,4.51
2016 Green Bay,2016,Green Bay,14,First Round,1,Horizon,3.54,3.98,3.08
2016 Hampton,2016,Hampton,16,First Round,1,MEAC,1.56,2.05,2.48
2016 Holy Cross,2016,Holy Cross,16,First Round,1,Patriot,0.34,1.55,1.35
2016 Iona,2016,Iona,13,First Round,1,MAAC,4.05,4.85,3.99
2016 Michigan,2016,Michigan,11,First Round,1,Big 10,5.44,5.51,4.45
2016 Michigan St.,2016,Michigan St.,2,First Round,1,Big 10,8.86,8.61,7.22
2016 Oregon St.,2016,Oregon St.,7,First Round,1,Pac 12,5.36,5.21,5.03
2016 Pittsburgh,2016,Pittsburgh,10,First Round,1,ACC,5.9,5.91,4.49
2016 Purdue,2016,Purdue,5,First Round,1,Big 10,7.15,7.35,6.8
2016 Seton Hall,2016,Seton Hall,6,First Round,1,Big East,6.29,5.38,5.77
2016 South Dakota St.,2016,South Dakota St.,12,First Round,1,Summit,4.58,4.47,4.02
2016 Southern,2016,Southern,16,First Round,1,SWAC,1.91,2.22,3.33
2016 Stony Brook,2016,Stony Brook,13,First Round,1,America East,4.37,4.89,4.51
2016 Temple,2016,Temple,10,First Round,1,AAC,4.27,3.12,5.15
2016 Texas,2016,Texas,6,First Round,1,Big 12,6.06,4.85,5.97
2016 Texas Tech,2016,Texas Tech,8,First Round,1,Big 12,5.7,5.59,5.11
2016 Tulsa,2016,Tulsa,11,First Round,1,AAC,4.92,4.61,4.74
2016 UNC Asheville,2016,UNC Asheville,15,First Round,1,Big South,2.85,2.95,3.12
2016 UNC Wilmington,2016,UNC Wilmington,13,First Round,1,CAA,4.39,4.44,4.17
2016 USC,2016,USC,8,First Round,1,Pac 12,5.65,5.85,5.32
2016 Vanderbilt,2016,Vanderbilt,11,First Round,1,SEC,6.78,6.68,7.35
2016 Weber St.,2016,Weber St.,15,First Round,1,Big Sky,3.51,4.46,3.62
2016 West Virginia,2016,West Virginia,3,First Round,1,Big 12,7.06,6.49,5.19
2016 Little Rock,2016,Little Rock,12,Second Round,1,Sun Belt,5.55,4.44,5.61
2016 Butler,2016,Butler,9,Second Round,1,Big East,5.78,6.08,4.62
2016 Connecticut,2016,Connecticut,9,Second Round,1,AAC,6.25,5.89,6.73
2016 Hawaii,2016,Hawaii,13,Second Round,1,Big West,5.61,5.83,5.98
2016 Iowa,2016,Iowa,7,Second Round,1,Big 10,6.66,6.24,6.96
2016 Kentucky,2016,Kentucky,4,Second Round,1,SEC,7.96,8.56,7.55
2016 Middle Tennessee,2016,Middle Tennessee,15,Second Round,1,CUSA,4.32,4.14,4.43
2016 Northern Iowa,2016,Northern Iowa,11,Second Round,1,MVC,4.84,4.27,5.12
2016 Providence,2016,Providence,9,Second Round,1,Big East,5.4,4.83,5.41
2016 Saint Joseph's,2016,Saint Joseph's,8,Second Round,1,A10,5.81,5.35,5.4
2016 Stephen F. Austin,2016,Stephen F. Austin,14,Second Round,1,Southland,5.61,6.17,4.97
2016 Utah,2016,Utah,3,Second Round,1,Pac 12,6.29,6.5,5.68
2016 VCU,2016,VCU,10,Second Round,1,A10,5.77,5.21,5.07
2016 Wichita St.,2016,Wichita St.,11,Second Round,1,MVC,7.16,5.83,7.03
2016 Xavier,2016,Xavier,2,Second Round,1,Big East,6.82,6.54,5.44
2016 Yale,2016,Yale,12,Second Round,1,Ivy,5.41,5.5,4.93
2017 North Carolina,2017,North Carolina,1,Champion,3,ACC,7.94,7.55,6.47
2017 Oregon,2017,Oregon,3,Final Four,3,Pac 12,7.28,7.58,6.83
2017 South Carolina,2017,South Carolina,7,Final Four,3,SEC,6.36,4.83,7.28
2017 Gonzaga,2017,Gonzaga,1,Runner Up,3,WCC,8.51,8.03,8.59
2017 Florida,2017,Florida,4,Elite Eight,2,SEC,7.57,6.59,7.5
2017 Kansas,2017,Kansas,1,Elite Eight,2,Big 12,7.89,8.13,6.33
2017 Kentucky,2017,Kentucky,2,Elite Eight,2,SEC,7.75,7.67,6.64
2017 Xavier,2017,Xavier,11,Elite Eight,2,Big East,5.38,5.69,3.72
2017 Arizona,2017,Arizona,2,Sweet 16,2,Pac 12,7.3,7.17,6.21
2017 Baylor,2017,Baylor,3,Sweet 16,2,Big 12,7.13,7.0,6.27
2017 Butler,2017,Butler,4,Sweet 16,2,Big East,6.55,6.13,5.11
2017 Michigan,2017,Michigan,7,Sweet 16,2,Big 10,6.9,7.42,5.77
2017 Purdue,2017,Purdue,4,Sweet 16,2,Big 10,7.09,7.07,6.69
2017 UCLA,2017,UCLA,3,Sweet 16,2,Pac 12,7.41,8.75,6.01
2017 West Virginia,2017,West Virginia,4,Sweet 16,2,Big 12,7.85,7.16,6.57
2017 Wisconsin,2017,Wisconsin,8,Sweet 16,2,Big Ten,7.15,6.25,6.79
2017 Bucknell,2017,Bucknell,13,First Round,1,Patriot,4.84,5.2,4.7
2017 Creighton,2017,Creighton,6,First Round,1,Big East,6.68,7.04,5.91
2017 Dayton,2017,Dayton,7,First Round,1,A10,6.21,5.8,5.35
2017 East Tennessee St.,2017,East Tennessee St.,13,First Round,1,Southern,4.91,5.53,4.18
2017 Florida Gulf Coast,2017,Florida Gulf Coast,14,First Round,1,ASUN,4.33,5.65,3.66
2017 Iona,2017,Iona,14,First Round,1,MAAC,3.26,3.49,2.78
2017 Jacksonville St.,2017,Jacksonville St.,15,First Round,1,OVC,2.38,3.8,2.59
2017 Kansas St.,2017,Kansas St.,11,First Round,1,Big 12,5.72,5.64,5.21
2017 Kent St.,2017,Kent St.,14,First Round,1,MAC,3.36,3.06,3.3
2017 Marquette,2017,Marquette,10,First Round,1,Big East,6.51,7.08,4.64
2017 Maryland,2017,Maryland,6,First Round,1,Big 10,6.17,5.88,5.94
2017 Miami FL,2017,Miami FL,8,First Round,1,ACC,5.88,5.77,5.51
2017 Minnesota,2017,Minnesota,5,First Round,1,Big 10,5.87,5.05,6.15
2017 Mount St. Mary's,2017,Mount St. Mary's,16,First Round,1,NEC,1.99,2.21,3.48
2017 Nevada,2017,Nevada,12,First Round,1,MWC,4.93,5.53,4.32
2017 New Mexico St.,2017,New Mexico St.,14,First Round,1,WAC,4.45,5.16,4.3
2017 New Orleans,2017,New Orleans,16,First Round,1,Southland,2.48,3.66,2.81
2017 North Carolina Central,2017,North Carolina Central,16,First Round,1,MEAC,2.89,3.4,4.36
2017 North Dakota,2017,North Dakota,15,First Round,1,Big Sky,2.78,3.8,3.2
2017 Northern Kentucky,2017,Northern Kentucky,15,First Round,1,Horizon,2.93,3.55,3.06
2017 Oklahoma St.,2017,Oklahoma St.,10,First Round,1,Big 12,6.89,7.58,4.35
2017 Princeton,2017,Princeton,12,First Round,1,Ivy,4.9,4.25,4.84
2017 Providence,2017,Providence,11,First Round,1,Big East,4.99,4.26,4.88
2017 Seton Hall,2017,Seton Hall,9,First Round,1,Big East,4.84,4.14,4.46
2017 SMU,2017,SMU,6,First Round,1,AAC,7.36,7.62,6.87
2017 South Dakota St.,2017,South Dakota St.,16,First Round,1,Summit,1.69,3.88,1.18
2017 Texas Southern,2017,Texas Southern,16,First Round,1,SWAC,2.31,3.42,2.76
2017 Troy,2017,Troy,15,First Round,1,Sun Belt,2.73,3.71,2.65
2017 UC Davis,2017,UC Davis,16,First Round,1,Big West,1.94,2.18,2.93
2017 UNC Wilmington,2017,UNC Wilmington,12,First Round,1,CAA,5.28,6.57,3.72
2017 Vanderbilt,2017,Vanderbilt,9,First Round,1,SEC,5.64,5.08,5.36
2017 VCU,2017,VCU,10,First Round,1,A10,5.53,5.07,5.28
2017 Vermont,2017,Vermont,13,First Round,1,America East,4.96,5.08,4.36
2017 Virginia Tech,2017,Virginia Tech,9,First Round,1,ACC,5.77,6.37,4.3
2017 Wake Forest,2017,Wake Forest,11,First Round,1,ACC,6.14,7.08,3.97
2017 Winthrop,2017,Winthrop,13,First Round,1,Big South,3.87,4.27,4.24
2017 Arkansas,2017,Arkansas,8,Second Round,1,SEC,5.54,5.6,4.59
2017 Cincinnati,2017,Cincinnati,6,Second Round,1,AAC,7.19,6.67,7.05
2017 Duke,2017,Duke,2,Second Round,1,ACC,7.46,7.24,6.66
2017 Florida St.,2017,Florida St.,3,Second Round,1,ACC,7.3,7.36,6.04
2017 Iowa St.,2017,Iowa St.,5,Second Round,1,Big 12,7.13,6.25,6.4
2017 Louisville,2017,Louisville,2,Second Round,1,ACC,7.52,6.46,6.95
2017 Michigan St.,2017,Michigan St.,9,Second Round,1,Big 10,5.98,5.69,5.36
2017 Middle Tennessee,2017,Middle Tennessee,12,Second Round,1,CUSA,5.87,5.66,5.77
2017 Northwestern,2017,Northwestern,8,Second Round,1,Big 10,5.51,4.8,5.37
2017 Notre Dame,2017,Notre Dame,5,Second Round,1,ACC,6.6,6.08,5.99
2017 Rhode Island,2017,Rhode Island,11,Second Round,1,A10,5.69,5.15,5.67
2017 Saint Mary's,2017,Saint Mary's,7,Second Round,1,WCC,6.82,7.11,6.25
2017 USC,2017,USC,11,Second Round,1,Pac 12,5.5,5.9,4.86
2017 Villanova,2017,Villanova,1,Second Round,1,Big East,7.66,8.09,6.07
2017 Virginia,2017,Virginia,5,Second Round,1,ACC,7.09,5.58,6.69
2017 Wichita St.,2017,Wichita St.,10,Second Round,1,MVC,8.02,7.39,6.92
2018 Villanova,2018,Villanova,1,Champion,3,Big East,8.54,9.07,6.29
2018 Kansas,2018,Kansas,1,Final Four,3,Big 12,7.39,8.16,6.32
2018 Loyola Chicago,2018,Loyola Chicago,11,Final Four,3,MVC,5.67,4.9,5.35
2018 Michigan,2018,Michigan,3,Runner Up,3,Big 10,6.95,6.37,6.57
2018 Duke,2018,Duke,2,Elite Eight,2,ACC,8.0,9.28,6.97
2018 Kansas St.,2018,Kansas St.,9,Elite Eight,2,Big 12,5.13,5.06,4.37
2018 Texas Tech,2018,Texas Tech,3,Elite Eight,2,Big 12,7.42,6.98,6.89
2018 Clemson,2018,Clemson,5,Sweet 16,2,ACC,6.11,5.45,5.49
2018 Gonzaga,2018,Gonzaga,4,Sweet 16,2,WCC,7.11,7.62,5.97
2018 Kentucky,2018,Kentucky,5,Sweet 16,2,SEC,6.43,6.56,5.21
2018 Nevada,2018,Nevada,7,Sweet 16,2,MWC,5.82,6.4,4.85
2018 Purdue,2018,Purdue,2,Sweet 16,2,Big 10,7.96,7.9,7.21
2018 Syracuse,2018,Syracuse,11,Sweet 16,2,ACC,4.36,4.21,4.66
2018 Texas A&M,2018,Texas A&M,7,Sweet 16,2,SEC,6.37,5.87,5.88
2018 West Virginia,2018,West Virginia,5,Sweet 16,2,Big 12,7.04,6.45,5.54
2018 Arizona,2018,Arizona,4,First Round,1,Pac 12,6.33,7.7,4.91
2018 Arizona St.,2018,Arizona St.,11,First Round,1,Pac 12,4.95,5.92,3.72
2018 Arkansas,2018,Arkansas,7,First Round,1,SEC,6.4,6.88,5.36
2018 Bucknell,2018,Bucknell,14,First Round,1,Patriot,4.31,5.14,4.48
2018 Cal St. Fullerton,2018,Cal St. Fullerton,15,First Round,1,Big West,2.58,3.81,2.92
2018 Charleston,2018,College of Charleston,13,First Round,1,CAA,3.77,4.5,3.88
2018 Creighton,2018,Creighton,8,First Round,1,Big East,6.15,6.53,4.71
2018 Davidson,2018,Davidson,12,First Round,1,A10,5.05,5.74,4.44
2018 Georgia St.,2018,Georgia St.,15,First Round,1,Sun Belt,3.72,4.46,4.05
2018 Iona,2018,Iona,15,First Round,1,MAAC,2.83,3.67,2.24
2018 Lipscomb,2018,Lipscomb,15,First Round,1,ASUN,3.0,3.57,3.03
2018 LIU,2018,LIU Brooklyn,16,First Round,1,NEC,0.51,2.7,1.49
2018 Miami FL,2018,Miami FL,6,First Round,1,ACC,5.61,5.5,4.8
2018 Missouri,2018,Missouri,8,First Round,1,SEC,5.5,5.72,5.04
2018 Montana,2018,Montana,14,First Round,1,Big Sky,4.57,4.83,4.25
2018 Murray St.,2018,Murray St.,12,First Round,1,OVC,5.0,6.02,4.98
2018 NC St.,2018,North Carolina St.,9,First Round,1,ACC,5.44,6.03,4.52
2018 New Mexico St.,2018,New Mexico St.,12,First Round,1,WAC,5.24,4.55,5.46
2018 North Carolina Central,2018,North Carolina Central,16,First Round,1,MEAC,0.03,2.22,0.89
2018 Oklahoma,2018,Oklahoma,10,First Round,1,Big 12,5.37,5.94,4.4
2018 Penn,2018,Penn,16,First Round,1,Ivy,3.54,3.14,4.59
2018 Providence,2018,Providence,10,First Round,1,Big East,4.96,4.07,4.49
2018 Radford,2018,Radford,16,First Round,1,Big South,2.52,2.9,2.81
2018 San Diego St.,2018,San Diego St.,11,First Round,1,MWC,5.44,5.4,4.93
2018 South Dakota St.,2018,South Dakota St.,12,First Round,1,Summit,4.89,5.02,4.13
2018 St. Bonaventure,2018,St. Bonaventure,11,First Round,1,A10,4.4,4.91,3.75
